order_id,order_date,order_month,order_quarter,order_year,customer_id,region,province,channel,employee_id,product_id,product_category,quantity,unit_price,discount_pct,discount_amount,gross_amount,net_amount,delivery_status,payment_method,payment_status
ORD0010001,2024-08-22,8,3,2024,CUS01590,Miền Nam,TP.HCM,Modern Trade,EMP1079,PRD0055,Thực phẩm,109,8500,2,18500.0,926500,908000.0,Delivered,Công nợ,Paid
ORD0010002,2024-12-28,12,4,2024,CUS01166,Miền Nam,Vũng Tàu,E-commerce,EMP1092,PRD0057,Thực phẩm,59,50000,0,0.0,2950000,2950000.0,Delivered,Công nợ,Paid
ORD0010002,2024-12-28,12,4,2024,CUS01166,Miền Nam,Vũng Tàu,E-commerce,EMP1092,PRD0036,Thực phẩm,9,30000,0,0.0,270000,270000.0,Delivering,Tiền mặt,Paid
ORD0010002,2024-12-28,12,4,2024,CUS01166,Miền Nam,Vũng Tàu,E-commerce,EMP1092,PRD0087,Gia dụng,7,15000,0,0.0,105000,105000.0,Delivering,Công nợ,Paid
ORD0010003,2024-03-19,3,1,2024,CUS01832,Miền Trung,Quảng Ngãi,Modern Trade,EMP1047,PRD0069,Chăm sóc cá nhân,34,40000,0,0.0,1360000,1360000.0,Delivered,Công nợ,Unpaid
ORD0010003,2024-03-19,3,1,2024,CUS01832,Miền Trung,Quảng Ngãi,Modern Trade,EMP1047,PRD0091,Gia dụng,95,12000,10,114000.0,1140000,1026000.0,Delivered,Tiền mặt,Paid
ORD0010003,2024-03-19,3,1,2024,CUS01832,Miền Trung,Quảng Ngãi,Modern Trade,EMP1047,PRD0002,Thức uống,13,9000,5,5800.0,117000,111200.0,Delivered,Công nợ,Paid
ORD0010004,2024-02-13,2,1,2024,CUS00345,Miền Bắc,Hà Nội,Modern Trade,EMP1014,PRD0056,Thực phẩm,64,10000,10,64000.0,640000,576000.0,Delivered,Tiền mặt,Paid
ORD0010005,2024-03-11,3,1,2024,CUS00564,Miền Trung,Huế,Traditional Trade,EMP1050,PRD0035,Thực phẩm,86,18000,10,154800.0,1548000,1393200.0,Delivered,Chuyển khoản,Unpaid
ORD0010006,2024-11-13,11,4,2024,CUS00573,Miền Trung,Huế,Modern Trade,EMP1041,PRD0024,Thức uống,19,40000,0,0.0,760000,760000.0,Delivered,Tiền mặt,Paid
ORD0010007,2024-08-17,8,3,2024,CUS00027,Miền Nam,Đồng Nai,Traditional Trade,EMP1072,PRD0040,Thực phẩm,6,18000,0,0.0,108000,108000.0,Delivered,Công nợ,Paid
ORD0010007,2024-08-17,8,3,2024,CUS00027,Miền Nam,Đồng Nai,Traditional Trade,EMP1072,PRD0072,Chăm sóc cá nhân,103,35000,15,540800.0,3605000,3064200.0,Delivered,Công nợ,Partial
ORD0010008,2024-04-07,4,2,2024,CUS00726,Miền Bắc,Thái Bình,E-commerce,EMP1020,PRD0090,Gia dụng,51,18000,0,0.0,918000,918000.0,Delivering,Chuyển khoản,Partial
ORD0010008,2024-04-07,4,2,2024,CUS00726,Miền Bắc,Thái Bình,E-commerce,EMP1020,PRD0011,Thức uống,66,25000,0,0.0,1650000,1650000.0,Delivering,Chuyển khoản,Paid
ORD0010008,2024-04-07,4,2,2024,CUS00726,Miền Bắc,Thái Bình,E-commerce,EMP1020,PRD0001,Thức uống,103,12000,5,61800.0,1236000,1174200.0,Delivered,Tiền mặt,Partial
ORD0010008,2024-04-07,4,2,2024,CUS00726,Miền Bắc,Thái Bình,E-commerce,EMP1020,PRD0059,Thực phẩm,99,15000,0,0.0,1485000,1485000.0,Delivered,Tiền mặt,Paid
ORD0010009,2024-11-18,11,4,2024,CUS00420,Miền Bắc,Hải Phòng,Traditional Trade,EMP1022,PRD0082,Chăm sóc cá nhân,47,12000,0,0.0,564000,564000.0,Delivering,Công nợ,Paid
ORD0010010,2024-11-19,11,4,2024,CUS01468,Miền Trung,Khánh Hòa,Traditional Trade,EMP1004,PRD0048,Thực phẩm,68,12000,0,0.0,816000,816000.0,Delivered,Tiền mặt,Paid
ORD0010010,2024-11-19,11,4,2024,CUS01468,Miền Trung,Khánh Hòa,Traditional Trade,EMP1004,PRD0086,Gia dụng,49,18000,0,0.0,882000,882000.0,Delivered,Tiền mặt,Partial
ORD0010010,2024-11-19,11,4,2024,CUS01468,Miền Trung,Khánh Hòa,Traditional Trade,EMP1004,PRD0065,Thực phẩm,43,20000,0,0.0,860000,860000.0,Delivered,Công nợ,Paid
ORD0010010,2024-11-19,11,4,2024,CUS01468,Miền Trung,Khánh Hòa,Traditional Trade,EMP1004,PRD0013,Thức uống,47,40000,0,0.0,1880000,1880000.0,Delivered,Công nợ,Partial
ORD0010010,2024-11-19,11,4,2024,CUS01468,Miền Trung,Khánh Hòa,Traditional Trade,EMP1004,PRD0070,Chăm sóc cá nhân,102,35000,2,71400.0,3570000,3498600.0,Delivered,Chuyển khoản,Paid
ORD0010011,2024-11-15,11,4,2024,CUS00832,Miền Bắc,Quảng Ninh,Modern Trade,EMP1003,PRD0015,Thức uống,63,9000,5,28400.0,567000,538600.0,Delivered,Chuyển khoản,Partial
ORD0010011,2024-11-15,11,4,2024,CUS00832,Miền Bắc,Quảng Ninh,Modern Trade,EMP1003,PRD0080,Chăm sóc cá nhân,60,12000,8,57600.0,720000,662400.0,Delivered,Chuyển khoản,Paid
ORD0010012,2024-12-11,12,4,2024,CUS01442,Miền Nam,Cần Thơ,Traditional Trade,EMP1079,PRD0084,Chăm sóc cá nhân,86,10000,5,43000.0,860000,817000.0,Delivered,Tiền mặt,Paid
ORD0010012,2024-12-11,12,4,2024,CUS01442,Miền Nam,Cần Thơ,Traditional Trade,EMP1079,PRD0100,Gia dụng,65,10000,5,32500.0,650000,617500.0,Delivered,Tiền mặt,Paid
ORD0010012,2024-12-11,12,4,2024,CUS01442,Miền Nam,Cần Thơ,Traditional Trade,EMP1079,PRD0065,Thực phẩm,79,20000,5,79000.0,1580000,1501000.0,Delivered,Công nợ,Paid
ORD0010012,2024-12-11,12,4,2024,CUS01442,Miền Nam,Cần Thơ,Traditional Trade,EMP1079,PRD0095,Gia dụng,47,10000,10,47000.0,470000,423000.0,Cancelled,Chuyển khoản,Unpaid
ORD0010013,2024-03-11,3,1,2024,CUS00573,Miền Trung,Huế,Modern Trade,EMP1041,PRD0043,Thực phẩm,119,40000,2,95200.0,4760000,4664800.0,Delivered,Chuyển khoản,Paid
ORD0010013,2024-03-11,3,1,2024,CUS00573,Miền Trung,Huế,Modern Trade,EMP1041,PRD0078,Chăm sóc cá nhân,61,10000,5,30500.0,610000,579500.0,Delivered,Tiền mặt,Paid
ORD0010013,2024-03-11,3,1,2024,CUS00573,Miền Trung,Huế,Modern Trade,EMP1041,PRD0040,Thực phẩm,49,18000,0,0.0,882000,882000.0,Delivered,Chuyển khoản,Paid
ORD0010014,2024-10-02,10,4,2024,CUS00341,Miền Trung,Bình Định,E-commerce,EMP1037,PRD0083,Chăm sóc cá nhân,109,15000,2,32700.0,1635000,1602300.0,Delivering,Chuyển khoản,Paid
ORD0010014,2024-10-02,10,4,2024,CUS00341,Miền Trung,Bình Định,E-commerce,EMP1037,PRD0051,Thực phẩm,20,8500,0,0.0,170000,170000.0,Delivered,Công nợ,Paid
ORD0010015,2024-06-10,6,2,2024,CUS00341,Miền Trung,Bình Định,E-commerce,EMP1037,PRD0095,Gia dụng,58,10000,0,0.0,580000,580000.0,Delivered,Công nợ,Partial
ORD0010015,2024-06-10,6,2,2024,CUS00341,Miền Trung,Bình Định,E-commerce,EMP1037,PRD0049,Thực phẩm,24,8500,0,0.0,204000,204000.0,Delivered,Tiền mặt,Paid
ORD0010016,2024-11-11,11,4,2024,CUS00505,Miền Bắc,Hưng Yên,E-commerce,EMP1030,PRD0096,Gia dụng,82,35000,2,57400.0,2870000,2812600.0,Delivering,Chuyển khoản,Paid
